nume_actiune,timestamp,thread
loadCandidati,27-05-2020 10:23:16,20
findExamen,27-05-2020 10:23:28,20
loadExamene,27-05-2020 10:23:28,20
changeExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:55,20
loadFacultati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:55,20
loadFacultati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:56,20
loadFacultati,27-05-2020 10:23:56,20
findExamen,27-05-2020 10:23:56,20
loadExamene,27-05-2020 10:23:56,20
loadCandidati,27-05-2020 10:23:56,20
findExamen,27-05-2020 10:23:56,20
loadExamene,27-05-2020 10:23:56,20
loadCandidati,27-05-2020 10:23:56,20
isCandidat,27-05-2020 10:25:03,19
loadCandidati,27-05-2020 10:25:03,19
findFacultate,27-05-2020 10:25:04,19
loadFacultati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findFacultate,27-05-2020 10:25:04,19
loadFacultati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findFacultate,27-05-2020 10:25:05,19
loadFacultati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findFacultate,27-05-2020 10:25:05,19
loadFacultati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findFacultate,27-05-2020 10:25:05,19
loadFacultati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findFacultate,27-05-2020 10:25:05,19
loadFacultati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
findExamen,27-05-2020 10:25:05,19
loadExamene,27-05-2020 10:25:05,19
loadCandidati,27-05-2020 10:25:05,19
isCandidat,27-05-2020 10:29:25,20
loadCandidati,27-05-2020 10:29:25,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findFacultate,27-05-2020 10:29:27,20
loadFacultati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
findExamen,27-05-2020 10:29:27,20
loadExamene,27-05-2020 10:29:27,20
loadCandidati,27-05-2020 10:29:27,20
isProfesor,27-05-2020 10:29:56,19
loadProfesori,27-05-2020 10:29:56,19
findFacultate,27-05-2020 10:29:59,19
loadFacultati,27-05-2020 10:29:59,19
findExamen,27-05-2020 10:29:59,19
loadExamene,27-05-2020 10:29:59,19
loadCandidati,27-05-2020 10:29:59,19
findExamen,27-05-2020 10:29:59,19
loadExamene,27-05-2020 10:29:59,19
loadCandidati,27-05-2020 10:29:59,19
changeFacultate,27-05-2020 10:30:03,19
loadFacultati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findFacultate,27-05-2020 10:30:03,19
loadFacultati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findFacultate,27-05-2020 10:30:03,19
loadFacultati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findExamen,27-05-2020 10:30:03,19
loadExamene,27-05-2020 10:30:03,19
loadCandidati,27-05-2020 10:30:03,19
findFacultate,27-05-2020 10:30:05,19
loadFacultati,27-05-2020 10:30:05,19
findExamen,27-05-2020 10:30:05,19
loadExamene,27-05-2020 10:30:05,19
loadCandidati,27-05-2020 10:30:05,19
findExamen,27-05-2020 10:30:05,19
loadExamene,27-05-2020 10:30:05,19
loadCandidati,27-05-2020 10:30:05,19
isProfesor,23-06-2022 16:21:55,18
loadProfesori,23-06-2022 16:21:55,18
isProfesor,23-06-2022 16:22:08,18
loadProfesori,23-06-2022 16:22:08,18
isProfesor,23-06-2022 16:22:18,18
loadProfesori,23-06-2022 16:22:18,18
isProfesor,23-06-2022 16:22:25,18
loadProfesori,23-06-2022 16:22:25,18
isProfesor,23-06-2022 16:22:37,18
loadProfesori,23-06-2022 16:22:37,18
isProfesor,23-06-2022 16:27:33,20
loadProfesori,23-06-2022 16:27:33,20
isProfesor,23-06-2022 16:27:41,20
loadProfesori,23-06-2022 16:27:41,20
findFacultate,23-06-2022 16:31:45,20
loadFacultati,23-06-2022 16:31:45,20
findExamen,23-06-2022 16:31:45,20
loadExamene,23-06-2022 16:31:45,20
